Dehashed name,WEM name (English),WEM name (日本語)
addkizunatalk004_0160,1020042381.wem,970563439.wem
addkizunatalk004_0170,899344368.wem,873780800.wem
addkizunatalk004_0180,626830932.wem,714291714.wem
addkizunatalk004_0190,726813028.wem,257424019.wem
addkizunatalk004_0200,435197137.wem,988948910.wem
addkizunatalk004_0210,792947596.wem,892504064.wem
addkizunatalk004_0220,788548918.wem,585586466.wem
addkizunatalk004_0230,381581019.wem,604871625.wem
addkizunatalk004_0240,553357561.wem,512969720.wem
addkizunatalk004_0250,757301728.wem,163145159.wem
addkizunatalk004_0260,45790565.wem,268019709.wem
addkizunatalk004_0270,657146168.wem,762320419.wem
addkizunatalk004_0280,390471831.wem,304230297.wem
addkizunatalk004_0290,470932813.wem,1004621643.wem
addkizunatalk004_0300,178540278.wem,928358841.wem
addkizunatalk004_0310,72703956.wem,858019503.wem
addkizunatalk004_0320,173641967.wem,416650767.wem
addkizunatalk004_0330,524412061.wem,144246457.wem
addkizunatalk004_0340,1037454532.wem,660298639.wem
addkizunatalk005_0010,871448268.wem,291098605.wem
addkizunatalk005_0020,530390563.wem,88149759.wem
addkizunatalk005_0030,196606216.wem,110616549.wem
addkizunatalk005_0040,939482326.wem,458272876.wem
addkizunatalk005_0050,668870561.wem,471389215.wem
addkizunatalk005_0060,932552.wem,711665024.wem
addkizunatalk005_0070,644084552.wem,447369232.wem
addkizunatalk005_0080,352428503.wem,695518462.wem
addkizunatalk005_0090,412328076.wem,141645634.wem
addkizunatalk005_0100,977952335.wem,664914560.wem
addkizunatalk005_0110,1072261626.wem,381261857.wem
addkizunatalk005_0120,723362838.wem,312782639.wem
addkizunatalk005_0130,977781845.wem,320057934.wem
addkizunatalk005_0140,281166052.wem,173981843.wem
addkizunatalk005_0150,138935308.wem,648441915.wem
addkizunatalk005_0160,363566659.wem,241979513.wem
addkizunatalk005_0170,2792407.wem,484368292.wem
addkizunatalk005_0180,130759938.wem,882566760.wem
addkizunatalk005_0190,399515536.wem,463376057.wem
addkizunatalk005_0200,231967987.wem,228350863.wem
addkizunatalk005_0210,950399295.wem,231995492.wem
addkizunatalk005_0220,163393614.wem,566011754.wem
addkizunatalk005_0230,675414687.wem,1013485748.wem
addkizunatalk005_0240,192438600.wem,132473669.wem
addkizunatalk005_0250,324589388.wem,520265953.wem
addkizunatalk005_0260,974442463.wem,519648400.wem
addkizunatalk005_0270,585617410.wem,1006308033.wem
addkizunatalk005_0280,760089083.wem,8427500.wem
addkizunatalk005_0290,225199808.wem,983563070.wem
addkizunatalk005_0300,1051681637.wem,114604973.wem
addkizunatalk005_0310,422531016.wem,487766730.wem
addkizunatalk005_0320,940237056.wem,194989354.wem
addkizunatalk005_0330,224929674.wem,489908087.wem
addkizunatalk005_0340,946990683.wem,1039261695.wem
addkizunatalk006_0010,724610640.wem,596262373.wem
addkizunatalk006_0020,194048651.wem,508473455.wem
addkizunatalk006_0030,606815119.wem,955327767.wem
addkizunatalk006_0040,250814175.wem,604282862.wem
addkizunatalk006_0050,598561179.wem,773394832.wem
addkizunatalk006_0060,452858101.wem,925443415.wem
addkizunatalk006_0070,619586528.wem,277779471.wem
addkizunatalk006_0080,215195762.wem,143927153.wem
addkizunatalk006_0090,219418445.wem,394990570.wem
addkizunatalk006_0100,995745139.wem,779869450.wem
addkizunatalk006_0110,501106561.wem,127613500.wem
addkizunatalk006_0120,712391925.wem,238468573.wem
addkizunatalk006_0130,88810302.wem,660919422.wem
addkizunatalk006_0140,899468830.wem,580156851.wem
addkizunatalk006_0150,933087027.wem,106588083.wem
addkizunatalk006_0160,419382006.wem,651000520.wem
addkizunatalk006_0170,875155938.wem,188749240.wem
addkizunatalk006_0180,572724148.wem,915503494.wem
addkizunatalk006_0190,436413427.wem,1036472063.wem
addkizunatalk006_0200,931226558.wem,711737163.wem
addkizunatalk006_0210,948286238.wem,708114105.wem
addkizunatalk006_0220,214511688.wem,1029785282.wem
addkizunatalk006_0230,1002749629.wem,926415343.wem
addkizunatalk006_0240,432549877.wem,735619203.wem
addkizunatalk006_0250,238398011.wem,727862353.wem
addkizunatalk006_0260,939685616.wem,954392500.wem
addkizunatalk006_0270,452500851.wem,737623756.wem
addkizunatalk006_0280,42123498.wem,180899630.wem
addkizunatalk006_0290,732473585.wem,204676545.wem
addkizunatalk006_0300,529339854.wem,981000273.wem
addkizunatalk006_0310,909413336.wem,688861492.wem
addkizunatalk006_0320,294050707.wem,342353357.wem
addkizunatalk006_0330,575580266.wem,802534546.wem
addkizunatalk006_0340,264630879.wem,309076643.wem
addkizunatalk006_0350,470537947.wem,815167587.wem
addkizunatalk006_0360,171397400.wem,379995961.wem
addkizunatalk006_0370,230389064.wem,23141269.wem
addkizunatalk006_0380,157673812.wem,995468410.wem
addkizunatalk006_0390,666124559.wem,489179989.wem
addkizunatalk006_0400,1015314914.wem,711767188.wem
addkizunatalk006_0410,168311233.wem,718956079.wem
addkizunatalk006_0420,715126457.wem,163352739.wem
addkizunatalk006_0430,426300236.wem,380544025.wem
addkizunatalk007_0010,190659025.wem,568644731.wem
addkizunatalk007_0020,1046691907.wem,283476420.wem
addkizunatalk007_0030,713520862.wem,715899659.wem
addkizunatalk007_0040,690312557.wem,970254154.wem
addkizunatalk007_0050,857571500.wem,880440821.wem
addkizunatalk007_0060,1032943262.wem,212094091.wem
addkizunatalk007_0070,1068955611.wem,787284026.wem
addkizunatalk007_0080,988074804.wem,225564739.wem
addkizunatalk007_0090,650045046.wem,630374682.wem
addkizunatalk007_0100,399028977.wem,436027996.wem
addkizunatalk007_0110,908759016.wem,659679317.wem
addkizunatalk007_0120,856268574.wem,211819075.wem
addkizunatalk007_0130,236664211.wem,424072268.wem
addkizunatalk007_0140,531721966.wem,566817390.wem
addkizunatalk007_0150,815215226.wem,552849197.wem
addkizunatalk007_0160,581981741.wem,1025949861.wem
addkizunatalk007_0170,101265557.wem,33649367.wem
addkizunatalk007_0180,636467671.wem,1046548382.wem
addkizunatalk007_0190,849615218.wem,388574220.wem
addkizunatalk007_0200,225114791.wem,792314727.wem
addkizunatalk007_0210,33663436.wem,386069736.wem
addkizunatalk007_0220,31918452.wem,652051587.wem
addkizunatalk007_0230,1070730054.wem,911808678.wem
addkizunatalk007_0240,877658846.wem,268197486.wem
addkizunatalk007_0250,359434475.wem,104549562.wem
addkizunatalk007_0260,482016253.wem,628734835.wem
addkizunatalk007_0270,561608586.wem,567465157.wem
addkizunatalk007_0280,239755414.wem,870398447.wem
addkizunatalk007_0290,534672515.wem,445859511.wem
addkizunatalk007_0300,245746877.wem,42298683.wem
addkizunatalk007_0310,557835391.wem,457129275.wem
addkizunatalk007_0320,305265788.wem,947403261.wem
addkizunatalk007_0330,943451046.wem,1001453125.wem
addkizunatalk007_0340,734801759.wem,106018606.wem
addkizunatalk007_0350,1036825559.wem,112898975.wem
addkizunatalk007_0360,650052303.wem,1002202119.wem
addkizunatalk007_0370,359491443.wem,167011855.wem
addkizunatalk007_0380,1034857370.wem,363428804.wem
addkizunatalk007_0390,39398891.wem,688768861.wem
addkizunatalk007_0400,824023610.wem,979497717.wem
addkizunatalk007_0410,425525904.wem,635206678.wem
addkizunatalk007_0420,432102680.wem,355937111.wem
addkizunatalk007_0430,965139916.wem,717945412.wem
addkizunatalk007_0440,849207147.wem,387564474.wem
addkizunatalk007_0450,339504357.wem,564009958.wem
addkizunatalk007_0460,729357676.wem,507586813.wem
addkizunatalk007_0470,1035800181.wem,610355651.wem
addkizunatalk007_0480,1018792511.wem,999321217.wem
addkizunatalk007_0490,100567305.wem,977496295.wem
