Dehashed name,WEM name (English),WEM name (日本語)
cq011000_0380,439171454.wem,985230395.wem
cq011000_0390,643498785.wem,706409051.wem
cq011000_0400,516495310.wem,187774300.wem
cq011000_0405,449894949.wem,435138042.wem
cq011000_0410,280766692.wem,424142862.wem
cq011000_0415,449904291.wem,756678909.wem
cq011000_0420,371304972.wem,166289946.wem
cq011000_0430,9960077.wem,495618247.wem
cq011000_0440,205913823.wem,209123054.wem
cq011000_0450,63876318.wem,1058393671.wem
cq011000_0455,27268446.wem,867682277.wem
cq011000_0460,319071700.wem,709734380.wem
cq011000_0470,1043249035.wem,402530407.wem
cq011000_0480,74643648.wem,1061776112.wem
cq011000_0490,455100333.wem,1018062350.wem
cq011000_0500,202350312.wem,41805351.wem
cq011000_0510,392003751.wem,882769357.wem
cq011000_0520,680265237.wem,853672561.wem
cq011000_0530,735408941.wem,643517019.wem
cq011000_0540,976824732.wem,723534036.wem
cq011000_0550,871521220.wem,499119201.wem
cq011000_0555,418399807.wem,838730593.wem
cq011000_0560,904634765.wem,371804352.wem
cq011000_0570,630401250.wem,826353286.wem
cq011000_0575,1039427067.wem,257851339.wem
cq011000_0580,145285615.wem,572747868.wem
cq011000_0590,703607938.wem,338976282.wem
cq011000_0600,674502261.wem,435801042.wem
cq011000_0610,816680613.wem,391897060.wem
cq011000_0615,957431570.wem,989754006.wem
cq011000_0620,586758265.wem,793813887.wem
cq011000_0630,653852378.wem,862485628.wem
cq011000_0635,121189702.wem,153153959.wem
cq011000_0640,682558711.wem,785495480.wem
cq011000_0645,668744321.wem,410755580.wem
cq011000_0650,148716675.wem,220814819.wem
cq011000_0653,536380701.wem,658422157.wem
cq011000_0656,712825485.wem,622863532.wem
cq011200_0010,766835818.wem,553465365.wem
cq011200_0020,657921502.wem,582242744.wem
cq011200_0030,516351030.wem,187834258.wem
cq011200_0040,648852256.wem,397574220.wem
cq011200_0050,991685788.wem,162608200.wem
cq011200_0060,164043199.wem,802369176.wem
cq011200_0070,1002276245.wem,599479321.wem
cq011200_0080,652744398.wem,963892213.wem
cq011200_0090,933105274.wem,506704949.wem
cq011200_0093,433361387.wem,350932120.wem
cq011200_0096,993047176.wem,16833419.wem
cq011200_0100,240347291.wem,83923194.wem
cq011200_0105,714462996.wem,329969945.wem
cq011200_0110,171881703.wem,837291038.wem
cq011200_0120,1073453067.wem,111233174.wem
cq011200_0130,766751688.wem,909673591.wem
cq011200_0135,603402338.wem,960483187.wem
cq020050_0040,1045088702.wem,537703502.wem
cq020100_0004,356025673.wem,595211420.wem
cq020100_0005,869468640.wem,188991985.wem
cq020100_0006,543360013.wem,891484413.wem
cq020100_0007,146639779.wem,476160547.wem
cq020100_0010,319569191.wem,731918292.wem
cq020100_0020,156104003.wem,1012261420.wem
cq020100_0030,9038313.wem,270992275.wem
cq020100_0040,568890272.wem,324941240.wem
cq020100_0050,566012324.wem,501373460.wem
cq020100_0060,230065402.wem,197920929.wem
cq020100_0070,1005698070.wem,806255778.wem
cq020200_0010,994037455.wem,86114693.wem
cq020200_0020,630767084.wem,5678823.wem
cq020200_0030,1052783949.wem,605130624.wem
cq020200_0040,150799017.wem,866590834.wem
cq020200_0050,597154556.wem,128303250.wem
cq020200_0060,613618397.wem,411650174.wem
cq020200_0070,621556154.wem,87095001.wem
cq020200_0080,746203209.wem,423117897.wem
cq020200_0090,362471225.wem,147536359.wem
cq020200_0100,753270826.wem,1040453066.wem
cq020200_0110,784554941.wem,36002647.wem
cq020200_0120,33893399.wem,401430244.wem
cq020300_0010,729978425.wem,595568634.wem
cq020300_0020,224953094.wem,912560652.wem
cq020300_0030,155628384.wem,256465232.wem
cq020300_0040,407373264.wem,481855879.wem
cq020300_0050,669747991.wem,334879193.wem
cq020300_0055,815522948.wem,439136710.wem
cq020300_0060,606495775.wem,663394718.wem
cq020300_0065,328661386.wem,876518155.wem
cq020300_0070,806441943.wem,761441768.wem
cq020300_0080,148158266.wem,90610137.wem
cq020300_0090,182950011.wem,15438516.wem
cq020300_0095,147808155.wem,132307494.wem
cq020300_0100,297485552.wem,605010734.wem
cq020300_0110,583668458.wem,334960772.wem
cq020300_0115,715797533.wem,905074242.wem
cq020300_0120,386171531.wem,864180832.wem
cq020350_0010,613751438.wem,85885703.wem
cq020370_0010,854687321.wem,663738555.wem
cq020500_0010,682196917.wem,1059464222.wem
cq020500_0020,695143510.wem,719795062.wem
cq020500_0030,848144621.wem,170600839.wem
cq020500_0040,956636403.wem,954748445.wem
cq020500_0045,730735969.wem,582228389.wem
cq020500_0050,764036660.wem,378355345.wem
cq020500_0060,530091674.wem,151814756.wem
cq020500_0065,543163708.wem,1034392293.wem
cq020500_0070,413480807.wem,675012634.wem
cq020500_0080,120854261.wem,360274687.wem
cq020500_0090,316210568.wem,232050332.wem
cq020500_0095,186723296.wem,957049181.wem
cq020500_0100,382015780.wem,935367666.wem
cq020500_0110,858394566.wem,261100037.wem
cq020500_0120,443260051.wem,647676723.wem
cq020500_0125,1004827509.wem,635598839.wem
cq020900_0010,639064678.wem,437244814.wem
cq020900_0020,916275012.wem,740383245.wem
cq020900_0025,368199201.wem,374081391.wem
cq020900_0030,1049651846.wem,609023205.wem
cq020900_0040,109347452.wem,309604101.wem
cq020900_0045,800625493.wem,741423699.wem
cq020900_0050,993477664.wem,561621280.wem
cq020900_0055,275375578.wem,27797689.wem
cq021000_0010,93102655.wem,647358383.wem
cq021000_0020,580333309.wem,978967324.wem
cq021000_0030,1049347939.wem,515751356.wem
cq021000_0035,825413670.wem,298653537.wem
cq021100_0010,897088783.wem,675542180.wem
cq021100_0020,775585885.wem,126675467.wem
cq021100_0030,586060704.wem,283726780.wem
cq021100_0035,1058732857.wem,502801761.wem
